Ch1 Amplitude,Ch2 Amplitude,Cluster
7.05494452,827.6172,1
7.933595,942.975464,1
12.2796383,843.826233,1
13.3182249,791.391846,1
13.9742136,823.451,1
15.1473532,835.75354,1
15.7454576,863.4998,1
16.2913284,842.0643,1
16.72385,829.3074,1
16.7262611,834.647644,1
17.260355,827.4963,1
17.3018188,851.4953,1
17.4774952,886.5548,1
17.49187,867.077759,1
18.2824955,833.9932,1
18.3719234,890.499451,1
18.6336689,769.563843,1
18.6998043,843.3184,1
18.8153286,875.4314,1
18.94791,863.6035,1
19.9831085,823.919556,1
20.0370312,872.291565,1
20.72162,826.239746,1
20.9946423,833.8005,1
21.0422249,850.8157,1
21.0470238,842.3877,1
21.3547821,817.102539,1
21.4246864,838.358337,1
21.549902,813.8139,1
21.7083569,879.8156,1
21.8803387,844.849854,1
21.885622,885.8863,1
22.1087837,812.2413,1
22.2842083,890.8108,1
22.32095,851.0234,1
22.4381714,823.1791,1
22.460125,850.236633,1
22.48606,784.2333,1
23.1379623,816.405151,1
23.5324059,852.8331,1
23.5717678,837.974365,1
23.6086845,890.5401,1
23.613018,824.6971,1
23.68103,806.1588,1
23.85178,878.6829,1
23.86322,832.595337,1
23.8746567,842.025757,1
23.92992,849.9147,1
24.1246853,831.8975,1
24.1256618,846.5965,1
24.3198967,810.813,1
24.4001579,788.246643,1
24.4991684,822.2647,1
24.660677,816.4605,1
24.9312153,796.788635,1
24.9513741,771.6234,1
25.186327,863.069153,1
25.2586727,786.35675,1
25.3002167,797.383362,1
25.30661,825.1238,1
25.3168774,877.4706,1
25.4556141,865.6376,1
25.4814281,827.9067,1
25.5691338,826.8409,1
25.6738644,811.87085,1
25.6906261,865.556763,1
25.7055244,845.511,1
25.7574577,853.125549,1
25.77952,812.446045,1
25.8793488,839.9426,1
25.9003086,786.094849,1
25.9188519,822.619751,1
25.9297,807.9008,1
25.9697533,827.7308,1
25.9806328,830.8242,1
26.0322,769.144043,1
26.0454082,915.046631,1
26.1654472,808.3006,1
26.2242928,817.060852,1
26.2926655,874.2318,1
26.2950287,773.680359,1
26.3699417,818.016357,1
26.4523544,817.2669,1
26.5294456,800.540833,1
26.5702076,833.9422,1
26.6039467,863.7485,1
26.6453114,846.9239,1
26.6565838,828.8954,1
26.6867142,855.153442,1
26.7364979,821.438232,1
26.74124,815.3698,1
26.7751846,807.4977,1
26.8675117,878.21344,1
26.9454155,860.4426,1
26.9719486,778.3032,1
26.9820061,812.2019,1
26.9954453,930.288635,1
27.121582,853.666565,1
27.1799831,924.3784,1
27.18634,775.439941,1
27.2442341,811.5528,1
27.24547,873.1091,1
27.2802544,787.8422,1
27.30126,852.3457,1
27.32296,860.0977,1
27.3535862,819.3027,1
27.5565586,827.7955,1
27.575243,809.281433,1
27.5900612,799.3483,1
27.6670532,831.3611,1
27.6810017,820.789734,1
27.7366276,817.241333,1
27.81347,818.5776,1
27.854311,827.496155,1
27.9044514,869.963562,1
27.91182,838.7861,1
27.9251862,780.641846,1
28.0352116,801.2455,1
28.0488014,883.993835,1
28.0701923,807.805,1
28.0814037,846.757446,1
28.0941849,816.8317,1
28.1414642,802.2353,1
28.1428413,839.6266,1
28.1919823,799.254639,1
28.213419,806.9331,1
28.25945,870.183655,1
28.2823849,860.304565,1
28.2952976,837.734863,1
28.3086472,882.117554,1
28.379406,862.0692,1
28.4097939,860.9812,1
28.4371967,841.3114,1
28.4711914,823.4457,1
28.48235,844.0368,1
28.5261383,819.516357,1
28.5554237,814.580444,1
28.6347828,807.547058,1
28.64183,817.96405,1
28.7279015,818.2744,1
28.76801,860.478,1
28.781992,829.8933,1
28.7864971,880.0097,1
28.8029537,757.036,1
28.8079472,813.1124,1
28.8206081,830.9696,1
28.8426342,816.500244,1
28.8489647,828.61,1
28.9368,830.3835,1
28.9830742,803.0776,1
28.9990978,887.4601,1
29.042038,906.092468,1
29.0441513,856.528137,1
29.1310158,858.432556,1
29.1354771,858.227539,1
29.143755,813.0461,1
29.1724415,846.920959,1
29.1800671,804.1573,1
29.19685,794.2403,1
29.2030735,762.7726,1
29.2037,923.9325,1
29.2039433,828.6773,1
29.2118244,868.007141,1
29.2924328,831.7445,1
29.3146553,868.764038,1
29.3468952,804.645569,1
29.3769588,778.1451,1
29.4138527,845.306,1
29.56436,788.4218,1
29.570179,759.0997,1
29.668129,833.7999,1
29.6814117,816.9285,1
29.69462,830.998,1
29.7365685,886.551453,1
29.7551479,906.073853,1
29.7862415,810.0283,1
29.8930016,878.99054,1
29.95966,848.7841,1
30.0091972,829.1552,1
30.0544453,819.16,1
30.088007,858.432739,1
30.1368141,784.181763,1
30.14451,817.5068,1
30.1497135,858.4043,1
30.1940327,838.590149,1
30.2228718,833.687134,1
30.3061352,805.766357,1
30.3642826,801.087769,1
30.4610958,766.3535,1
30.4746952,782.915955,1
30.4877949,801.508362,1
30.4940662,819.553833,1
30.58547,835.7014,1
30.5964985,812.191162,1
30.6268578,851.7382,1
30.6661587,857.422363,1
30.7171669,843.8725,1
30.7472,837.1505,1
30.7717838,780.0157,1
30.7762566,859.2737,1
30.7816467,848.9766,1
30.8072014,867.035,1
30.8099537,795.623169,1
30.8284245,798.5639,1
30.8545475,809.344,1
30.87156,816.0873,1
30.9098663,820.908,1
30.9345284,820.4146,1
30.96321,824.61145,1
30.982172,821.4235,1
30.9825058,807.8568,1
30.9880276,833.7682,1
31.0162868,842.6782,1
31.0563526,764.565369,1
31.09313,857.6055,1
31.1097336,796.0483,1
31.13429,830.7295,1
31.1412868,794.007568,1
31.1653843,908.0048,1
31.1716633,836.644165,1
31.1996117,814.3337,1
31.2170372,787.105469,1
31.2458286,800.3318,1
31.2507229,783.4724,1
31.254118,839.435364,1
31.2634525,821.8433,1
31.2802658,808.4217,1
31.282793,861.150635,1
31.3579082,801.8945,1
31.3854,794.8154,1
31.3856487,772.782959,1
31.4335918,911.781,1
31.48114,845.234253,1
31.481329,856.8877,1
31.49963,851.2667,1
31.5644913,827.106445,1
31.59299,800.7417,1
31.63462,859.5123,1
31.6836834,853.5659,1
31.72956,826.052368,1
31.85329,856.3459,1
31.855238,845.06,1
31.9092827,813.574951,1
31.9670887,908.515137,1
32.03149,799.4659,1
32.0527725,839.045959,1
32.10132,814.1853,1
32.1416855,859.9764,1
32.181282,799.350647,1
32.19535,827.5676,1
32.2135925,802.5779,1
32.2818527,754.1658,1
32.2963448,780.852051,1
32.29761,808.039856,1
32.3125648,859.8616,1
32.33021,800.7446,1
32.3388634,828.6752,1
32.3467445,758.6915,1
32.3975525,876.8613,1
32.39927,825.968445,1
32.46396,821.6981,1
32.473484,804.1416,1
32.48433,883.3794,1
32.4859848,952.174438,1
32.49741,826.0427,1
32.5042267,846.6892,1
32.5208054,837.1947,1
32.5425949,811.092834,1
32.5475121,814.1584,1
32.56454,838.2512,1
32.5928726,854.836243,1
32.6320076,844.649353,1
32.64897,832.9174,1
32.6646233,827.407349,1
32.6752243,846.657959,1
32.714077,803.6464,1
32.71771,815.281,1
32.72086,865.5231,1
32.7262878,838.3366,1
32.7360077,877.4859,1
32.7714,808.2283,1
32.78769,837.2067,1
32.8366051,787.9901,1
32.844738,829.2572,1
32.85928,819.5677,1
32.86631,826.897339,1
32.8813858,803.6479,1
32.9171,827.581665,1
32.93272,816.618,1
32.9354057,851.496155,1
32.95245,791.918335,1
32.97734,791.0294,1
32.9885979,803.2293,1
33.0999222,849.4911,1
33.140213,782.9863,1
33.19003,823.5663,1
33.1922951,831.1067,1
33.2362251,828.584839,1
33.2400322,910.345154,1
33.306385,862.3464,1
33.3192444,801.223,1
33.3565979,823.422546,1
33.3637352,825.7223,1
33.38555,876.7587,1
33.3954964,791.8053,1
33.3973045,843.2441,1
33.3979378,771.548,1
33.4429131,864.845,1
33.4510651,844.9898,1
33.460537,873.1944,1
33.4624329,809.5596,1
33.4853668,805.9408,1
33.5490456,758.9588,1
33.5819054,774.793457,1
33.6109352,857.81604,1
33.61943,821.2864,1
33.6680832,795.2102,1
33.7082138,829.023743,1
33.71476,820.2131,1
33.72473,786.849243,1
33.7521935,764.326843,1
33.781765,812.5887,1
33.8089027,827.057068,1
33.855526,785.1871,1
33.87746,823.5918,1
33.8781776,795.54834,1
33.9091568,873.38385,1
33.9160957,827.3695,1
33.9486732,858.7824,1
33.97134,827.4089,1
34.0291252,774.253967,1
34.1926651,852.733765,1
34.2062836,847.8486,1
34.21088,849.27594,1
34.2189178,799.3153,1
34.21924,836.810242,1
34.2720642,857.5575,1
34.29299,851.6627,1
34.294384,867.4067,1
34.3188,793.4973,1
34.34661,808.5289,1
34.3603821,807.2447,1
34.3669777,825.208862,1
34.375412,737.776245,1
34.3861961,827.57605,1
34.42235,852.706848,1
34.4283638,835.0675,1
34.43331,809.6439,1
34.4409523,797.626831,1
34.453537,805.455444,1
34.4550667,795.7777,1
34.4578476,788.688843,1
34.47161,807.76,1
34.4777145,846.1211,1
34.50949,792.847534,1
34.5395164,826.798462,1
34.5424271,823.266663,1
34.58459,887.101,1
34.59026,849.7265,1
34.61417,839.9329,1
34.620472,814.8518,1
34.64757,838.3705,1
34.6528358,855.042969,1
34.65498,828.41156,1
34.7050667,865.358032,1
34.72779,790.921,1
34.7327271,866.8921,1
34.7341652,820.681946,1
34.743576,854.449036,1
34.7462578,816.3769,1
34.7784462,806.8323,1
34.7910423,763.784546,1
34.8043747,808.8109,1
34.8097649,816.2811,1
34.8278656,800.9452,1
34.8313065,785.0304,1
34.8342972,774.454834,1
34.8345222,819.8778,1
34.83545,861.0804,1
