Ch1 Amplitude,Ch2 Amplitude,Cluster
887.9878,3338.61377,1
910.7863,603.865,1
910.8147,459.069031,1
912.550842,498.1075,1
923.0504,497.05072,1
928.066,519.1576,1
932.1562,520.0817,1
934.0886,475.489471,1
936.552551,612.081848,1
936.6355,541.8839,1
939.32135,530.855347,1
942.319641,475.6704,1
943.2774,596.0464,1
944.944946,497.934418,1
947.588,543.679,1
947.9623,559.9099,1
949.1496,491.898468,1
950.3201,605.527954,1
950.3653,629.560242,1
951.533569,569.4389,1
952.5736,541.6388,1
953.4829,576.4356,1
953.553,568.4331,1
954.1874,482.053162,1
954.505859,594.025146,1
954.8064,595.1772,1
954.9128,588.9203,1
954.913635,601.188232,1
956.196838,455.5605,1
956.2047,606.316345,1
956.8027,616.266541,1
956.95105,611.8122,1
957.182739,551.5569,1
957.701843,623.730469,1
957.897766,562.903748,1
958.3136,594.995544,1
958.318542,564.824036,1
958.898,497.797546,1
959.667358,541.49646,1
959.8429,568.4048,1
959.8464,611.292664,1
959.916138,594.536133,1
960.2978,643.7085,1
960.691162,574.653931,1
960.826233,580.1006,1
961.097046,532.6964,1
962.3404,574.7038,1
962.7025,580.098,1
962.725,491.0612,1
963.1276,597.3223,1
963.2871,551.3027,1
964.1462,557.73,1
964.392151,590.484253,1
964.5684,592.390747,1
964.9761,651.881653,1
965.4326,576.5834,1
965.4421,589.1577,1
965.445435,593.7231,1
965.63,575.2115,1
966.121033,608.7903,1
966.348938,591.9359,1
966.459839,531.2403,1
966.571533,608.0675,1
966.6084,531.750366,1
966.6361,528.1084,1
966.7061,620.2241,1
966.78,611.7557,1
966.8204,564.670044,1
967.0732,588.701843,1
967.436,629.710449,1
967.60614,541.305542,1
967.723267,559.524536,1
967.78656,552.572937,1
967.9093,564.5486,1
967.9487,595.4732,1
968.1285,597.636658,1
968.849,605.9423,1
969.205,584.839233,1
969.280762,595.778259,1
969.355042,562.935364,1
969.469238,630.0251,1
969.506,591.5533,1
970.1171,592.9988,1
970.1342,544.631165,1
970.139,602.2775,1
970.2209,489.3339,1
970.347839,598.3146,1
970.499,586.122253,1
970.9281,615.28656,1
971.097961,545.8315,1
971.264465,556.7046,1
971.3361,637.3598,1
971.49,617.5456,1
971.5168,568.9247,1
971.611145,669.702332,1
971.7024,610.9495,1
971.820435,630.867859,1
971.931,558.736633,1
971.996,637.115051,1
972.0117,565.6601,1
972.108948,567.1593,1
972.3718,593.6661,1
972.4274,606.3181,1
972.7867,630.6868,1
972.804443,601.009,1
972.8141,532.1799,1
972.9547,591.065247,1
973.2876,545.1529,1
973.467651,628.9574,1
973.4985,611.2828,1
973.6295,500.9859,1
974.0108,608.6279,1
974.2174,574.078064,1
974.3315,590.3871,1
974.5455,561.2139,1
974.888367,532.99585,1
974.954651,619.311768,1
975.0995,584.6945,1
975.0997,568.1447,1
975.2381,578.6224,1
975.2444,594.2985,1
975.262451,594.662537,1
975.369934,566.6027,1
975.4483,560.0611,1
975.591064,585.9782,1
975.7077,519.211365,1
975.723145,602.973633,1
975.83075,548.0745,1
975.942444,600.5819,1
976.0324,598.6667,1
976.0726,623.730957,1
976.159241,572.3273,1
976.1645,616.8915,1
976.6069,601.5802,1
976.663452,578.511658,1
976.704041,611.0798,1
977.069946,615.6714,1
977.074463,593.264465,1
977.3841,599.381042,1
977.399963,608.2194,1
977.4006,567.8306,1
977.4997,607.0017,1
977.5133,500.444855,1
977.55304,594.4668,1
977.5551,597.7295,1
977.657654,581.4239,1
977.6805,610.5061,1
977.7733,588.265564,1
