Ch1 Amplitude,Ch2 Amplitude,Cluster
7.52879572,856.295837,1
9.513719,837.1354,1
12.1892424,806.7692,1
14.52804,952.9171,1
14.9999647,790.9575,1
15.047224,827.975464,1
15.845295,886.8103,1
16.6508656,825.344543,1
16.7200718,886.9531,1
17.5287685,850.173157,1
17.8626118,847.5782,1
17.87123,974.505,1
18.7352753,858.4334,1
18.7707481,883.4459,1
18.8497639,880.8474,1
19.3013229,808.9727,1
19.8823147,849.8079,1
20.0238667,848.454956,1
20.1754379,820.693237,1
20.2583332,863.118347,1
20.4433918,850.7795,1
21.1147137,845.7144,1
21.2437572,832.5837,1
21.349617,813.9488,1
21.4679146,817.341553,1
21.5494137,847.4815,1
21.7970123,831.7679,1
22.09724,825.4583,1
22.654047,832.0147,1
22.746212,802.5337,1
23.0593147,871.8603,1
23.12925,800.0486,1
23.1384068,836.1919,1
23.1562214,838.056335,1
23.189064,883.7231,1
23.3123837,836.2766,1
23.4138985,793.0776,1
23.4395256,859.72345,1
23.50295,866.7912,1
23.6377659,832.183655,1
23.8976727,857.359436,1
23.93211,830.0195,1
23.9503441,918.208,1
24.1509533,789.082642,1
24.3318825,882.917664,1
24.3392715,819.2183,1
24.3430347,826.1311,1
24.4557571,880.3713,1
24.5220318,813.5493,1
24.5379086,893.307251,1
24.5403461,919.307556,1
24.5685539,813.139832,1
24.7705841,797.943542,1
24.7800827,873.750061,1
24.9070683,878.2648,1
25.1434345,887.85144,1
25.2498531,826.1024,1
25.2761116,819.764954,1
25.4202366,914.3004,1
25.429842,853.2214,1
25.4410725,860.221252,1
25.5828133,835.7329,1
25.6924248,847.1236,1
25.7629261,863.2177,1
25.8243179,826.695068,1
25.93332,769.0672,1
25.9507389,863.7128,1
25.967474,834.496155,1
25.9776859,773.4514,1
26.0452747,849.7372,1
26.1993484,860.2563,1
26.2153931,802.04895,1
26.2479744,846.125,1
26.3060169,820.7987,1
26.4642811,859.6599,1
26.5126381,844.3799,1
26.5596447,838.748352,1
26.5810776,844.460632,1
26.6851978,792.695068,1
26.7908726,822.6034,1
26.8622074,816.8444,1
27.00205,814.0087,1
27.0379143,820.020264,1
27.18184,875.1828,1
27.4394379,820.759644,1
27.5921116,814.785461,1
27.6455479,808.27655,1
27.7393,799.7122,1
27.7393188,787.3721,1
27.76372,815.932068,1
27.8528748,867.5161,1
27.8966732,921.28064,1
27.9991722,804.7834,1
28.0616169,848.022766,1
28.10955,864.6527,1
28.1638641,855.354431,1
28.33393,853.787231,1
28.3464375,851.339233,1
28.4295464,784.5986,1
28.5352173,913.333,1
28.5504551,804.2571,1
28.6271477,869.775,1
28.6541786,824.9228,1
28.6612568,770.924,1
28.7288151,823.4991,1
28.7665539,822.8577,1
28.8007469,807.890747,1
28.82501,816.369568,1
28.8596363,822.8417,1
28.8921528,840.8399,1
28.9012146,866.34906,1
28.9337139,851.4849,1
28.9757786,815.206665,1
28.986187,793.076538,1
29.016613,769.0853,1
29.01751,848.345032,1
29.0347958,806.7766,1
29.1474571,816.923767,1
29.163929,806.9865,1
29.1813812,862.609436,1
29.3705063,808.516541,1
29.4245033,842.319,1
29.4260883,837.488647,1
29.4355145,885.675659,1
29.44219,941.9321,1
29.4558277,803.528564,1
29.4706974,803.4122,1
29.6428185,826.8041,1
29.6750984,829.468445,1
29.6883736,851.073,1
29.7844563,868.6564,1
29.8673782,849.651733,1
29.8918324,814.7453,1
29.9314938,820.678162,1
29.95201,824.624634,1
29.976696,814.036255,1
30.03987,798.354553,1
30.05294,828.3146,1
30.0561085,831.77356,1
30.0840435,861.072449,1
30.1272774,843.9736,1
30.1325588,841.372131,1
30.1545849,824.9679,1
30.1721077,808.4136,1
30.2945633,813.263367,1
30.2998028,878.6486,1
30.3060055,809.260132,1
30.4123974,862.8479,1
30.4248428,846.3678,1
30.4851627,821.629761,1
30.5242844,825.7406,1
30.5645618,839.6566,1
30.64158,845.0859,1
30.64167,839.5895,1
30.6601181,845.561157,1
30.7046242,912.5053,1
30.8159142,823.3309,1
30.8197479,811.738953,1
30.84815,788.7445,1
30.8947468,813.0608,1
30.9379768,820.030762,1
30.939373,812.1321,1
30.9960575,821.363159,1
31.05543,853.2237,1
31.065485,871.712158,1
31.08681,821.261963,1
31.099329,793.404053,1
31.1117249,892.4041,1
31.1326542,806.8616,1
31.1374073,859.6188,1
31.1576958,799.192566,1
31.1833782,952.269958,1
31.192049,832.889038,1
31.226263,796.469849,1
31.237442,800.757263,1
31.2618866,843.989,1
31.3146114,840.8322,1
31.31595,840.0091,1
31.3734627,851.3135,1
31.3925457,832.75946,1
31.3948669,850.5046,1
31.4781933,873.9234,1
31.4879475,841.3217,1
31.4931736,842.944336,1
31.5133343,846.272766,1
31.56981,789.061768,1
31.58032,805.528442,1
31.5955353,872.239441,1
31.62186,874.491638,1
31.7428741,802.0195,1
31.8179245,768.265,1
31.8344841,824.29895,1
31.9046783,858.288452,1
31.9149055,879.900635,1
31.9195213,836.5132,1
31.92602,821.9127,1
31.9541664,834.0483,1
31.9669666,798.03,1
31.985178,842.455566,1
31.9926815,880.7698,1
32.0054779,828.9029,1
32.0478172,807.867737,1
32.0494041,836.8712,1
32.0715981,849.114563,1
32.07592,797.5753,1
32.1300774,838.2551,1
32.2048569,863.6049,1
32.27988,864.9555,1
32.29383,825.4534,1
32.3410759,900.521851,1
32.4214821,861.41626,1
32.4723473,837.643738,1
32.4755478,777.5244,1
32.53727,807.976,1
32.55576,797.1833,1
32.5953445,844.419739,1
32.6593361,842.381042,1
32.67737,854.469666,1
32.7049332,849.5656,1
32.7122231,808.1634,1
32.7159653,880.7928,1
32.7255974,813.9594,1
32.73046,807.0317,1
32.75475,792.127747,1
32.7697525,816.313965,1
32.7745476,796.3991,1
32.77677,882.5849,1
32.7963448,837.4996,1
32.81047,824.5064,1
32.83202,832.594849,1
32.832634,848.469,1
32.8621178,752.6774,1
32.9591942,841.6095,1
32.9873238,822.0695,1
33.0291862,834.6709,1
33.02985,828.1267,1
33.0455627,854.9657,1
33.049366,854.3259,1
33.0531654,804.276,1
33.0694962,844.549438,1
33.0766144,837.6634,1
33.0779533,913.1272,1
33.0992241,833.9663,1
33.11244,814.3461,1
33.1599426,824.1794,1
33.1956825,808.245667,1
33.2458954,849.4297,1
33.2493858,821.32605,1
33.2753639,876.186768,1
33.320507,854.83,1
33.34698,873.739868,1
33.3634834,827.6163,1
33.4176178,871.33136,1
33.41982,827.2683,1
33.42919,821.8408,1
33.4364166,877.940857,1
33.465992,830.123,1
33.47739,805.2681,1
33.5170555,849.925049,1
33.5189934,852.0219,1
33.5276337,838.8538,1
33.5457764,781.6031,1
33.5493736,815.4731,1
33.6792946,826.1975,1
33.7158852,788.694,1
33.7178154,837.8654,1
33.7202339,853.4118,1
33.73214,800.0203,1
33.7345963,834.039,1
33.7525444,838.9102,1
33.75742,807.7256,1
33.7731628,809.921631,1
33.7913475,858.563,1
33.79229,829.0338,1
33.8167648,821.607,1
33.8304253,788.755432,1
33.8363571,766.6299,1
33.8389473,844.520752,1
33.8674126,820.5428,1
33.8715935,822.915161,1
33.8754234,828.270447,1
33.9199944,859.669861,1
33.92936,774.0968,1
33.943367,807.6784,1
33.9702644,817.0541,1
33.973465,840.0431,1
33.9744034,889.569763,1
33.9818649,822.860962,1
33.98895,808.7319,1
34.0143356,785.5961,1
34.0238724,836.9272,1
34.0370369,831.206665,1
34.0391655,881.0902,1
34.0392723,791.1562,1
34.0480881,876.3586,1
34.056675,816.84436,1
34.0965462,866.6318,1
34.12474,824.3749,1
34.141346,778.274963,1
34.160183,800.1065,1
34.1665039,770.282349,1
34.2144,812.9689,1
34.2410049,827.061462,1
34.2619057,831.4854,1
34.27615,871.4915,1
34.27935,846.8233,1
34.30642,820.2383,1
34.31967,776.1339,1
34.32157,808.9931,1
34.32189,888.4641,1
34.3230171,859.6704,1
34.3450241,813.7131,1
34.39718,805.064331,1
34.4049568,836.623657,1
34.4102745,847.382263,1
34.4454842,835.3808,1
34.45254,886.652039,1
34.4775734,829.699463,1
34.4836349,827.07,1
