Ch1 Amplitude,Ch2 Amplitude,Cluster
41.1382179,679.157654,1
58.6441956,692.568848,1
985.147339,635.327454,1
1013.65607,3496.43384,4
1015.20184,4335.96533,4
1015.84308,734.6098,1
1019.6225,3519.76831,4
1019.84277,741.0998,1
1020.88214,706.8425,1
1022.29053,3529.49683,4
1024.3783,694.66864,1
1024.50781,695.07135,1
1025.43384,3728.952,4
1026.45068,756.251,1
1027.49561,3615.25122,4
1028.18848,723.5612,1
1028.63513,703.778137,1
1028.9491,701.899658,1
1028.96875,717.493347,1
1029.03857,3502.30078,4
1029.31738,706.282166,1
1030.30151,3449.96118,4
1030.3855,736.24,1
1030.56177,752.7515,1
1030.56519,700.0666,1
1031.66772,699.400635,1
1032.6897,3579.93237,4
1032.86475,677.6146,1
1033.03491,690.8697,1
1033.23047,3537.241,4
1033.56,734.7624,1
1033.94385,688.6554,1
1034.78137,3639.028,4
1034.91882,656.071838,1
1035.49146,3401.95386,4
1035.75562,702.2308,1
1036.1427,701.3547,1
1036.26343,686.647461,1
1036.65674,670.185547,1
1037.60461,739.0303,1
1037.73462,653.5332,1
1037.788,1442.25732,1
1037.958,714.3156,1
1038.0918,692.2939,1
1038.16406,3580.53833,4
1038.52979,696.658752,1
1038.93457,698.6033,1
1039.20679,709.9783,1
1039.3667,718.608948,1
1039.46375,694.8444,1
1039.58789,718.5082,1
1040.00684,718.133057,1
1040.0509,710.7544,1
1040.34424,752.5135,1
1040.777,728.1064,1
1040.79382,696.504944,1
1041.06873,3657.94336,4
1041.7406,668.334656,1
1041.82324,672.0477,1
1041.897,711.798767,1
1042.00964,737.0629,1
1042.07666,709.8806,1
1042.30115,686.820251,1
1042.51135,726.12085,1
1042.66772,737.3211,1
1042.67529,669.2552,1
1042.71667,678.826233,1
1042.72119,3523.11743,4
1042.91516,680.325867,1
1042.97632,3592.0083,4
1042.98047,728.437,1
1043.16443,694.440369,1
1043.32031,704.1468,1
1043.38513,684.2842,1
1043.48608,744.5139,1
1043.51978,738.3603,1
1043.55237,686.9692,1
1043.55859,714.570251,1
1043.61841,698.8742,1
1043.6864,719.1351,1
1043.6908,704.94,1
1043.6936,3497.679,4
1043.70654,660.2967,1
1043.756,719.706238,1
1043.79309,675.8773,1
1043.902,611.185547,1
1043.94067,661.799133,1
1044.05664,3492.50415,4
1044.117,705.768433,1
1044.13379,3667.29736,4
1044.2168,679.9906,1
1044.24109,718.930969,1
1044.32837,3399.30029,4
1044.34924,705.5458,1
1044.483,3439.00635,4
1044.52527,704.636658,1
1044.52844,680.9687,1
1044.54248,721.930847,1
1044.56018,3404.245,4
1044.58374,643.306763,1
1044.58618,754.3491,1
1044.60217,713.3631,1
1044.802,3525.30151,4
1044.81042,654.3343,1
1044.96069,679.368347,1
1044.98755,712.8986,1
1045.26465,3480.757,4
1045.34729,3592.86987,4
1045.35876,698.8268,1
1045.402,687.381531,1
1045.42542,3420.998,4
1045.51965,678.971558,1
1045.77625,682.5515,1
1045.81689,703.648438,1
1045.91138,3512.671,4
1045.91418,3511.1123,4
1045.97021,3509.60742,4
1045.98608,721.416565,1
1046.00122,678.9176,1
1046.08191,3594.43652,4
1046.14429,728.3806,1
1046.25793,696.6056,1
1046.28088,721.2816,1
1046.52893,692.7097,1
1046.68713,670.8784,1
1046.7301,658.39856,1
1047.07556,688.4519,1
1047.227,680.8482,1
1047.38416,695.4946,1
1047.4198,3463.576,4
1047.60608,725.9249,1
1047.65588,723.8235,1
1047.75439,722.683655,1
1047.84729,3530.4353,4
1047.87939,2509.82471,4
1047.95447,700.4255,1
1047.96533,3631.74756,4
1048.02,764.1657,1
1048.14661,673.0048,1
1048.50562,766.3446,1
1048.83374,647.471741,1
1048.88977,738.76,1
1048.89441,3564.51953,4
1048.92944,728.6467,1
1048.99036,712.7441,1
1049.13391,678.4935,1
1049.20142,3533.24585,4
1049.25745,684.4098,1
1049.28076,708.552,1
1049.49475,720.0972,1
1049.511,691.6438,1
1049.59863,706.834045,1
1049.61853,688.0153,1
1049.6925,3599.78076,4
1049.77856,3466.56641,4
1049.79443,660.535,1
1049.88574,679.9634,1
1049.94861,687.2569,1
1050.10461,740.4234,1
1050.11169,3536.224,4
1050.1676,718.5238,1
1050.20251,757.2902,1
1050.209,728.9083,1
1050.24255,676.393738,1
1050.48108,666.497864,1
1050.48462,734.2319,1
1050.49219,657.722168,1
1050.549,3581.94238,4
1050.632,708.0008,1
1050.79382,3397.38086,4
1050.80884,677.2909,1
1050.9325,702.446,1
1050.968,3608.599,4
1051.10034,3709.2583,4
1051.232,622.6571,1
1051.2428,3519.28516,4
1051.24585,688.945557,1
1051.25867,3641.18066,4
1051.42981,692.7415,1
1051.48779,3393.91138,4
1051.63745,681.3481,1
1051.65479,3579.70239,4
1051.69482,727.360657,1
1051.783,685.3343,1
1051.79041,3455.53467,4
