Ch1 Amplitude,Ch2 Amplitude,Cluster
984.606934,689.302856,1
986.0691,735.0919,1
986.305359,666.812134,1
993.0329,690.902649,1
994.9221,681.82135,1
995.4591,698.2366,1
996.053955,679.4781,1
996.122,765.012756,1
996.473145,710.7564,1
996.705444,732.3114,1
997.8858,681.7915,1
999.446,757.4969,1
1000.57556,718.350952,1
1001.76239,708.418945,1
1003.35437,775.747864,1
1003.76666,703.7357,1
1004.91656,699.388,1
1005.11987,744.103,1
1005.42151,674.842468,1
1005.65552,686.1206,1
1005.73138,693.52,1
1006.18121,738.807,1
1006.67517,756.7095,1
1006.95892,779.7899,1
1007.94257,712.247437,1
1008.02991,736.8683,1
1008.25555,764.9638,1
1008.33337,695.5801,1
1008.53461,694.8145,1
1008.64905,721.519165,1
1009.02808,700.3032,1
1009.19128,706.0078,1
1009.21173,694.043457,1
1009.29962,738.1814,1
1009.38428,728.369,1
1009.84418,702.992737,1
1009.95319,724.488159,1
1010.11542,658.432434,1
1010.14294,716.5028,1
1010.23914,712.659363,1
1010.33344,682.2792,1
1010.57281,697.497253,1
1010.94104,727.3189,1
1012.23218,691.05835,1
1012.38171,676.79126,1
1012.486,693.492859,1
1013.06158,680.6105,1
1014.08069,754.3346,1
1014.17218,662.7872,1
1014.49683,758.119263,1
1014.55829,658.6916,1
1015.884,651.589539,1
1015.91931,718.620239,1
1016.00952,709.5246,1
1016.13605,758.265564,1
1016.34747,727.6798,1
1016.35687,730.2697,1
1016.50763,676.127258,1
1016.66553,680.052856,1
1016.67664,728.748962,1
1017.06744,702.903442,1
1017.1897,689.4465,1
1017.50488,729.2868,1
1017.52313,691.6026,1
1017.977,738.809631,1
1018.31293,695.5208,1
1018.36407,707.676941,1
1018.7854,733.1019,1
1018.95239,747.563049,1
1019.10321,704.708252,1
1019.30029,730.322754,1
1019.40948,670.798,1
1019.46533,731.7996,1
1019.55304,757.16095,1
1019.57196,725.09845,1
1019.71729,685.8947,1
1019.86127,706.7104,1
1019.8833,751.276062,1
1019.90137,715.767456,1
1019.90424,779.748657,1
1019.94464,690.312256,1
1020.09851,728.3324,1
1020.22961,701.7866,1
1020.23907,653.6971,1
1020.25513,721.9142,1
1020.28442,749.9225,1
1020.338,737.2553,1
1020.55847,732.9868,1
1020.70996,694.0711,1
1020.72339,711.418,1
1020.7254,658.3274,1
1020.7348,667.537048,1
1020.93463,757.071,1
1021.03235,662.2585,1
1021.182,723.077942,1
1021.19733,723.817932,1
1021.22412,740.4697,1
1021.24573,711.3674,1
1021.24622,707.767456,1
1021.43842,701.7552,1
1021.43884,757.5153,1
1021.48383,670.498535,1
1021.54913,719.216064,1
1021.59467,656.891541,1
1021.68567,736.1859,1
1021.81055,723.8354,1
1021.92981,673.982361,1
1022.04156,738.0982,1
1022.10919,739.786133,1
1022.27985,682.058167,1
1022.5907,690.173,1
1022.71045,692.674561,1
1022.71838,723.2662,1
1022.79156,686.8308,1
1022.82086,670.6437,1
1022.931,723.1711,1
1023.08234,753.3237,1
1023.13354,747.2919,1
1023.2301,704.6415,1
1023.27576,694.557251,1
1023.5564,720.5115,1
1023.79254,702.1485,1
1023.81915,752.1009,1
1023.96063,712.362854,1
1024.02527,714.230347,1
1024.03052,696.4247,1
1024.03723,650.583557,1
1024.14111,717.68,1
1024.14539,686.3383,1
1024.23438,730.921143,1
1024.33862,727.7689,1
1024.36194,712.470642,1
1024.42163,681.8963,1
1024.529,731.9693,1
1024.52991,742.177856,1
1024.67834,689.5156,1
1024.69348,696.836731,1
1024.71521,674.1879,1
1024.72961,726.9238,1
1024.85193,716.878,1
1024.858,736.265869,1
1024.94165,670.8567,1
1024.97571,710.7,1
1025.03662,709.5703,1
1025.09351,729.49884,1
1025.36035,747.3899,1
1025.39783,684.0276,1
1025.43579,746.240967,1
1025.5105,671.551,1
1025.57141,744.2296,1
1025.62317,719.887634,1
1025.6366,737.5612,1
1025.67175,745.345642,1
1025.68164,756.326843,1
1025.77014,657.5692,1
1025.77686,675.6898,1
1025.81531,678.044739,1
1026.09485,696.8617,1
1026.23279,708.1276,1
1026.36072,677.3512,1
1026.45178,696.91,1
1026.51306,674.207642,1
1026.5614,731.3034,1
1026.64026,715.9746,1
1026.65466,696.109131,1
1026.84216,704.8267,1
1026.86963,711.810364,1
1027.19812,720.199646,1
1027.39136,763.523254,1
1027.40222,731.0704,1
1027.43091,723.9608,1
1027.7074,713.4531,1
1027.761,687.9865,1
1027.87732,720.559448,1
1028.01245,710.077454,1
1028.04175,784.879761,1
1028.15857,682.5718,1
1028.1875,704.292847,1
1028.26807,646.192139,1
1028.3075,695.367065,1
1028.37109,720.379944,1
1028.4989,667.315735,1
1028.60742,751.5931,1
1028.657,664.1596,1
1028.69,700.4623,1
1028.80029,740.346741,1
1028.81836,704.691467,1
1028.86121,691.3781,1
1028.88843,688.052063,1
1028.91284,729.965332,1
1028.98767,715.9296,1
1029.07056,668.4614,1
1029.07251,743.377869,1
1029.091,756.6336,1
1029.13269,698.910156,1
1029.30884,678.4854,1
1029.42,711.0858,1
1029.47021,687.5515,1
1029.52173,677.0013,1
1029.52356,705.2828,1
1029.52527,721.58374,1
1029.63135,696.491638,1
1029.66467,761.3266,1
1029.72449,696.638,1
1029.75244,735.373169,1
1029.78931,683.2947,1
1029.81079,706.626038,1
1029.88635,677.5879,1
1030.11572,716.1045,1
1030.12244,700.3312,1
1030.13293,697.3364,1
1030.21436,724.5068,1
1030.23694,760.7672,1
1030.49048,742.3078,1
1030.64221,682.5726,1
1030.67139,726.433838,1
1030.684,769.059,1
1030.73987,691.5395,1
1030.77014,622.5302,1
1030.7804,711.2137,1
1030.83862,675.8674,1
1030.85986,668.410767,1
1030.86975,757.274536,1
1030.8844,678.367432,1
1030.953,725.3332,1
1030.9552,736.532837,1
1031.07166,736.022461,1
1031.0968,715.4331,1
1031.16846,767.6061,1
1031.20764,676.596069,1
1031.24072,662.956238,1
1031.26843,700.3004,1
1031.3075,716.2493,1
1031.32,735.9999,1
1031.38147,693.8755,1
1031.39392,686.090637,1
1031.40027,726.033936,1
1031.41162,696.7501,1
1031.422,690.998657,1
1031.44421,732.2131,1
1031.5022,679.023254,1
1031.5343,677.236267,1
1031.63562,715.9343,1
1031.6842,695.435059,1
1031.81226,686.3629,1
1031.91577,700.629944,1
1031.942,712.3577,1
1032.03784,700.9498,1
1032.04321,720.6997,1
1032.09045,685.7056,1
1032.13147,664.0303,1
1032.136,642.4566,1
1032.13989,705.4414,1
1032.19434,666.094849,1
1032.24207,707.244263,1
1032.25793,739.095642,1
1032.30457,735.7056,1
1032.35327,687.299744,1
1032.38135,714.5937,1
1032.38379,691.086365,1
1032.53,666.9648,1
1032.57813,719.1087,1
1032.60107,679.5235,1
1032.60156,719.3872,1
1032.769,721.3858,1
1032.838,701.456055,1
1032.956,685.3192,1
1032.98022,697.344849,1
1033.026,703.5517,1
1033.05151,768.7573,1
1033.06177,721.4465,1
1033.06543,720.7865,1
1033.11792,649.9047,1
1033.12292,693.2963,1
1033.1377,721.0065,1
1033.17517,689.709656,1
1033.27417,700.588562,1
1033.28735,710.236145,1
1033.31189,706.067139,1
1033.34753,732.2983,1
1033.38354,745.538,1
1033.42322,670.901245,1
1033.42993,729.63385,1
1033.46265,744.530334,1
1033.46973,697.850769,1
1033.4906,739.3703,1
1033.502,718.27594,1
1033.50476,656.6132,1
1033.51184,690.428,1
1033.54858,727.2948,1
1033.599,709.4706,1
1033.626,678.591248,1
1033.66467,700.365,1
1033.72461,700.0323,1
1033.79688,753.6653,1
1033.8053,683.1535,1
1033.81506,710.9566,1
1033.9613,676.802734,1
1033.99817,738.0646,1
1034.01538,687.5741,1
1034.043,709.784,1
1034.12024,662.0431,1
1034.1311,753.503967,1
1034.16077,744.5354,1
1034.17078,614.9866,1
1034.20972,741.1622,1
1034.22791,773.3102,1
1034.25366,686.837952,1
1034.258,695.8154,1
1034.26416,719.284,1
1034.26489,738.6116,1
1034.302,763.543945,1
1034.369,712.5511,1
1034.37427,668.105042,1
1034.39819,722.8452,1
1034.40039,705.57,1
1034.44385,741.8848,1
1034.46667,697.1823,1
1034.49512,725.7981,1
1034.507,717.6706,1
1034.50818,710.9939,1
1034.52209,664.244263,1
1034.54761,685.332153,1
1034.57275,718.3118,1
1034.57764,703.0355,1
1034.59448,689.783752,1
1034.60681,724.338135,1
1034.68176,723.680664,1
1034.71033,709.2981,1
1034.72668,710.7793,1
1034.77759,705.046631,1
1034.81116,687.3048,1
1034.83862,678.7217,1
1034.84241,721.146057,1
1034.86877,730.965332,1
1034.87024,703.8238,1
1034.91028,694.1589,1
1034.92554,748.892,1
1034.98474,763.608,1
1035.01831,699.5823,1
1035.03284,698.0453,1
1035.11157,697.4244,1
1035.1178,688.797668,1
1035.13843,716.6032,1
1035.17371,692.6376,1
1035.20874,714.4723,1
1035.21484,734.5686,1
1035.22107,709.6373,1
1035.29346,731.56134,1
1035.32568,703.4613,1
1035.35144,700.625732,1
1035.49,717.232544,1
1035.55127,748.7457,1
1035.60266,709.217,1
1035.60913,674.7878,1
1035.61084,694.4247,1
1035.73352,720.4227,1
1035.738,707.97876,1
1035.80371,691.467468,1
1035.85315,750.52124,1
1035.95715,738.5342,1
1035.9939,654.502,1
1036.04443,716.1181,1
1036.166,735.1212,1
1036.1676,732.792847,1
1036.18408,684.422852,1
1036.32959,691.607239,1
1036.35059,698.603638,1
1036.35669,705.749451,1
1036.36841,683.4423,1
1036.38623,700.266357,1
1036.44128,686.2221,1
1036.4574,726.8556,1
1036.51929,755.3587,1
1036.61438,727.7177,1
1036.65417,707.6131,1
1036.72046,767.350037,1
1036.729,702.291565,1
1036.74512,703.277649,1
1036.79028,662.9113,1
1036.80615,684.417969,1
1036.81018,699.8077,1
1036.82507,667.7394,1
1036.84692,742.9134,1
1036.91309,712.108643,1
1036.95984,708.712158,1
1036.96448,733.243652,1
1036.99426,745.8455,1
1037.07068,714.9133,1
1037.20508,641.0508,1
1037.29358,695.1634,1
1037.30237,693.0533,1
1037.34436,731.5689,1
1037.34692,668.174744,1
