Ch1 Amplitude,Ch2 Amplitude,Cluster
837.412231,490.555725,1
868.851257,509.814117,1
876.8023,518.946838,1
889.4206,586.596741,1
891.263733,493.1506,1
892.3748,609.4183,1
892.469,531.2135,1
894.0528,508.437164,1
897.1146,510.127075,1
899.159546,574.494568,1
899.3395,538.107056,1
899.5139,571.273438,1
899.9408,533.7422,1
901.4958,503.988037,1
903.4913,529.006958,1
903.9933,564.2255,1
907.1316,525.1129,1
907.426941,546.2793,1
907.4519,508.710632,1
908.0413,528.829834,1
911.53064,560.395569,1
913.908752,542.0831,1
914.342163,530.2952,1
914.584961,512.345459,1
914.6351,528.6713,1
914.8027,583.9,1
914.820557,580.07196,1
915.236,581.5103,1
915.6595,588.8823,1
916.370544,547.448364,1
916.4967,534.649231,1
917.4127,569.461365,1
917.6248,580.684143,1
918.53595,569.352,1
919.3597,622.8389,1
920.52594,582.3077,1
921.0621,578.769348,1
921.313,562.622559,1
921.4768,534.3038,1
921.993958,611.9147,1
922.2637,545.721741,1
922.6866,581.757141,1
923.0127,595.3505,1
923.4275,536.025146,1
923.6941,554.578369,1
923.7754,498.291168,1
924.1274,582.1006,1
924.589233,578.556458,1
924.730835,557.7827,1
924.816345,608.720764,1
924.833862,587.7209,1
926.5739,537.3377,1
926.670044,608.1232,1
927.626343,557.3562,1
927.678833,612.692566,1
927.689148,593.7638,1
928.011841,550.643,1
928.125244,492.748535,1
928.3067,548.0226,1
928.647949,578.15625,1
928.850342,556.1515,1
928.887634,557.5608,1
929.0616,556.673157,1
929.186462,546.8167,1
929.3793,587.970459,1
929.5175,579.2601,1
929.7087,516.011536,1
930.4622,558.424866,1
930.5476,623.6125,1
930.7025,528.315857,1
930.9421,583.054443,1
930.956543,539.3034,1
931.0289,598.159,1
931.0588,625.4262,1
931.3335,559.7141,1
931.342041,573.7418,1
931.3499,586.261658,1
931.438538,584.1285,1
931.6287,630.2217,1
931.7764,530.035339,1
931.854248,567.8042,1
931.886536,606.685059,1
932.2705,614.761963,1
932.2761,570.377441,1
932.6074,543.4096,1
932.8473,556.5457,1
932.936462,557.2141,1
933.157532,578.180359,1
933.3855,575.649048,1
933.4279,611.7655,1
933.481445,560.2066,1
933.6529,551.4041,1
933.686462,553.4554,1
933.8982,563.7172,1
934.0856,583.26,1
934.184265,565.9426,1
934.3188,623.2145,1
934.399841,586.5002,1
934.423767,546.148132,1
934.4732,611.4815,1
934.5008,560.145935,1
934.5066,624.9905,1
934.8937,554.9524,1
935.160767,598.431,1
935.2683,548.6504,1
935.408569,537.838745,1
935.4806,588.4777,1
935.61084,565.053467,1
935.614441,535.198853,1
935.6188,557.050659,1
935.691956,575.5958,1
935.7149,593.242065,1
935.72876,592.6688,1
935.846863,595.165039,1
935.9022,598.5332,1
935.988953,542.577454,1
935.996155,595.6603,1
936.0343,503.564941,1
936.1301,500.016724,1
936.36554,553.1631,1
