Ch1 Amplitude,Ch2 Amplitude,Cluster
42.4357147,847.4405,1
48.4723167,814.61676,1
60.4078865,858.7703,1
60.62352,846.4682,1
62.01441,749.3113,1
72.3120651,784.1855,1
85.52117,782.257141,1
89.45721,809.6567,1
93.84888,706.8417,1
896.749939,558.0205,1
897.6206,522.7171,1
918.5936,537.4548,1
918.7336,576.0936,1
918.880249,575.7826,1
919.0857,522.2766,1
920.3117,591.3242,1
920.367432,549.239136,1
921.6511,581.873047,1
923.852966,557.336731,1
924.2433,616.0794,1
924.2663,591.594543,1
925.0461,530.1386,1
925.1522,563.55896,1
925.3394,570.8597,1
928.276855,549.5667,1
928.295654,613.057434,1
928.3752,551.085754,1
928.4162,517.475342,1
929.4594,621.5239,1
930.554,586.1195,1
930.5967,572.551941,1
930.6279,588.218933,1
930.7159,573.665,1
931.0906,592.8522,1
931.3075,576.8755,1
931.9526,540.114868,1
932.0027,536.71405,1
932.1194,598.049133,1
932.734558,526.461,1
934.1425,559.3357,1
934.225342,585.081238,1
934.5001,587.9218,1
934.6821,537.2609,1
934.8127,572.171143,1
934.855164,589.0398,1
935.947,600.2149,1
935.990234,607.7291,1
936.0412,586.3909,1
936.4188,547.266235,1
936.734,634.2491,1
936.7597,559.2392,1
936.890564,591.9334,1
937.16156,538.0629,1
937.321045,561.7204,1
937.6288,590.8215,1
937.6852,580.3668,1
938.1324,603.9987,1
938.133362,547.921448,1
938.2495,549.675659,1
938.9453,583.9457,1
939.0179,524.0876,1
939.1223,582.5086,1
939.4007,486.13,1
939.5195,551.653931,1
940.1314,582.472168,1
940.1636,529.7859,1
940.2619,557.086365,1
940.309753,585.5666,1
940.521057,564.4621,1
940.548,570.3393,1
940.5715,572.893066,1
940.6258,636.4923,1
940.6733,597.8337,1
940.7615,584.5034,1
940.8335,596.455139,1
940.8979,547.7944,1
940.9766,568.4975,1
941.0683,545.402344,1
941.151245,620.5943,1
941.1702,561.315552,1
941.2916,579.0651,1
941.3485,567.471069,1
941.554138,550.9226,1
941.6244,581.755,1
941.7014,586.410645,1
941.749634,524.7029,1
941.7696,542.9805,1
942.1708,509.109253,1
942.4285,631.487061,1
942.715332,575.513733,1
942.7794,607.676331,1
942.805664,546.0608,1
942.8799,603.7394,1
942.923462,623.0128,1
942.983154,579.1025,1
943.04895,588.803955,1
943.0791,611.774048,1
943.0892,553.033,1
943.5472,592.6383,1
943.6849,556.9192,1
943.815063,599.0883,1
943.8952,565.8233,1
943.9495,541.597,1
944.3382,577.301,1
944.3523,579.824646,1
944.495361,595.8874,1
944.519165,603.498,1
944.5992,598.43335,1
944.7671,535.2485,1
944.9397,552.214233,1
945.069031,564.7444,1
945.1437,591.7857,1
945.30426,537.0555,1
945.380249,605.936462,1
945.5493,568.6113,1
945.8357,588.5923,1
945.8849,604.444031,1
945.9396,577.600952,1
945.9617,582.7747,1
945.9986,609.048645,1
946.134338,584.725952,1
946.2541,556.30835,1
946.2788,557.283264,1
946.6112,557.993164,1
946.6342,604.511169,1
946.7482,525.842834,1
946.920654,561.1657,1
947.020569,551.7093,1
947.048462,576.9267,1
947.186462,589.357056,1
947.300049,561.062,1
947.3051,585.4116,1
947.317,596.164,1
947.6588,575.3397,1
947.6855,601.9536,1
947.694641,601.914734,1
947.7234,544.5861,1
947.7357,539.2371,1
947.806641,590.100952,1
947.8511,545.34,1
947.876953,580.974,1
947.907654,579.8845,1
948.100647,614.500366,1
948.1499,576.6442,1
948.235046,556.488464,1
948.312439,595.8338,1
948.384766,599.1898,1
948.402344,578.959167,1
948.4126,555.7693,1
948.4272,569.9201,1
948.436951,596.882935,1
948.5852,594.3491,1
948.6048,594.490234,1
948.623657,557.634033,1
948.9552,526.8663,1
949.0877,601.8971,1
949.1458,629.4679,1
949.3217,518.0342,1
949.324463,554.716064,1
949.3487,540.3992,1
949.368347,601.24115,1
949.4024,616.976135,1
949.4698,560.9296,1
949.482544,588.4604,1
949.506653,551.3563,1
949.621033,543.810669,1
949.6786,572.0793,1
949.773254,586.0992,1
949.7866,531.0906,1
949.803833,602.389832,1
949.8134,532.5325,1
949.9502,595.9415,1
950.0052,569.94635,1
950.195862,573.9398,1
950.301758,574.5362,1
950.5212,546.4438,1
950.5236,588.973938,1
950.5875,542.795166,1
950.7628,628.5676,1
950.838257,531.5335,1
950.9416,620.1174,1
950.986,559.7339,1
951.0345,549.3751,1
951.0634,578.2213,1
951.102356,568.6278,1
951.1557,548.558655,1
951.1732,570.032654,1
951.178162,559.2479,1
951.3364,617.675659,1
951.3865,588.932739,1
951.436035,580.523132,1
951.6644,554.6815,1
951.6655,627.3973,1
951.8191,617.208252,1
951.869141,560.5903,1
951.890747,557.9876,1
951.962036,597.90094,1
952.025,603.8186,1
952.1006,555.5099,1
952.133,600.109,1
952.1463,556.5999,1
952.1592,565.216858,1
952.2598,590.8416,1
952.2917,622.8424,1
952.300964,585.6632,1
952.3384,575.4314,1
952.3957,581.9761,1
952.431763,578.3953,1
952.5306,592.4245,1
952.601868,601.5852,1
952.6597,540.6261,1
952.6602,561.9746,1
952.6827,571.4362,1
952.6925,560.854858,1
952.7108,537.4572,1
952.716858,617.9058,1
952.7317,505.3934,1
952.8546,582.5353,1
952.9109,529.0178,1
952.941,583.378052,1
952.9546,559.681946,1
952.983032,619.760742,1
953.0576,546.72345,1
