"Well","Sample","TargetType","Target","Concentration"
"C01","solidus_10_3_62.5","Ch1Unknown","FAM",60.2
"C02","cotti_10_3_62.5","Ch1Unknown","FAM",1.5
"C03","pungitii_10_3_62.5","Ch1Unknown","FAM",90
"C04","NTC_WORM","Ch1Unknown","FAM",0
"C05","cyclopoid_10_3_62.5","Ch1Unknown","FAM",0.08
"C06","calanoid_10_3_62.5","Ch1Unknown","FAM",0
"C07","solidus_10_3_62.5","Ch1Unknown","FAM",56.6
"C08","cotti_10_3_62.5","Ch1Unknown","FAM",1.3
"C09","pungitii_10_3_62.5","Ch1Unknown","FAM",94
"C10","cyclopoid_10_3_62.5","Ch1Unknown","FAM",0
"C11","calanoid_10_3_62.5","Ch1Unknown","FAM",0
"C12","calanoid_10_3_62.5","Ch1Unknown","FAM",0
"D01","solidus_10_3_60","Ch1Unknown","FAM",57
"D02","cotti_10_3_60","Ch1Unknown","FAM",2
"D03","pungitii_10_3_60","Ch1Unknown","FAM",94
"D04","NTC_COPEPOD","Ch1Unknown","FAM",0
"D05","cyclopoid_10_3_60","Ch1Unknown","FAM",0
"D06","calanoid_10_3_60","Ch1Unknown","FAM",0
"D07","solidus_10_3_60","Ch1Unknown","FAM",59
"D08","cotti_10_3_60","Ch1Unknown","FAM",1.8
"D09","pungitii_10_3_60","Ch1Unknown","FAM",92
"D10","cyclopoid_10_3_60","Ch1Unknown","FAM",0
"D11","calanoid_10_3_60","Ch1Unknown","FAM",0.08
"D12","calanoid_10_3_60","Ch1Unknown","FAM",0
"E01","solidus_10_3_57.1","Ch1Unknown","FAM",52.7
"E02","cotti_10_3_57.1","Ch1Unknown","FAM",2.6
"E03","cotti_10_3_57.1","Ch1Unknown","FAM",1.4
"E04","pungitii_10_3_57.1","Ch1Unknown","FAM",91
"E05","pungitii_10_3_57.1","Ch1Unknown","FAM",92
"E06","cyclopoid_10_3_57.1","Ch1Unknown","FAM",0
"E07","calanoid_10_3_57.1","Ch1Unknown","FAM",0
"E08","calanoid_10_3_57.1","Ch1Unknown","FAM",0
"C01","solidus_10_3_62.5","Ch2Unknown","HEX",0
"C02","cotti_10_3_62.5","Ch2Unknown","HEX",0
"C03","pungitii_10_3_62.5","Ch2Unknown","HEX",0
"C04","NTC_WORM","Ch2Unknown","HEX",0
"C05","cyclopoid_10_3_62.5","Ch2Unknown","HEX",238
"C06","calanoid_10_3_62.5","Ch2Unknown","HEX",0
"C07","solidus_10_3_62.5","Ch2Unknown","HEX",0
"C08","cotti_10_3_62.5","Ch2Unknown","HEX",0
"C09","pungitii_10_3_62.5","Ch2Unknown","HEX",0
"C10","cyclopoid_10_3_62.5","Ch2Unknown","HEX",234
"C11","calanoid_10_3_62.5","Ch2Unknown","HEX",0
"C12","calanoid_10_3_62.5","Ch2Unknown","HEX",0
"D01","solidus_10_3_60","Ch2Unknown","HEX",0
"D02","cotti_10_3_60","Ch2Unknown","HEX",0
"D03","pungitii_10_3_60","Ch2Unknown","HEX",0
"D04","NTC_COPEPOD","Ch2Unknown","HEX",0
"D05","cyclopoid_10_3_60","Ch2Unknown","HEX",221
"D06","calanoid_10_3_60","Ch2Unknown","HEX",0
"D07","solidus_10_3_60","Ch2Unknown","HEX",0
"D08","cotti_10_3_60","Ch2Unknown","HEX",0
"D09","pungitii_10_3_60","Ch2Unknown","HEX",0
"D10","cyclopoid_10_3_60","Ch2Unknown","HEX",234
"D11","calanoid_10_3_60","Ch2Unknown","HEX",0
"D12","calanoid_10_3_60","Ch2Unknown","HEX",0
"E01","solidus_10_3_57.1","Ch2Unknown","HEX",0
"E02","cotti_10_3_57.1","Ch2Unknown","HEX",0
"E03","cotti_10_3_57.1","Ch2Unknown","HEX",0
"E04","pungitii_10_3_57.1","Ch2Unknown","HEX",0
"E05","pungitii_10_3_57.1","Ch2Unknown","HEX",0
"E06","cyclopoid_10_3_57.1","Ch2Unknown","HEX",247
"E07","calanoid_10_3_57.1","Ch2Unknown","HEX",0
"E08","calanoid_10_3_57.1","Ch2Unknown","HEX",0
