Ch1 Amplitude,Ch2 Amplitude,Cluster
970.617432,2756.07764,4
983.9425,3059.84717,4
994.1494,2893.16138,4
997.0546,3080.47266,4
997.6562,3458.932,4
1001.88684,675.0679,1
1002.73395,3307.899,4
1006.21277,3140.98413,4
1006.85608,3406.273,4
1007.036,2946.946,4
1009.99823,3022.21338,4
1016.52972,3331.3772,4
1020.966,3240.78931,4
1021.3833,3208.1123,4
1021.89264,655.3605,1
1022.24847,3028.18481,4
1022.89087,711.743958,1
1023.36517,3277.219,4
1024.46021,3438.17041,4
1025.358,3195.08984,4
1026.70129,3128.223,4
1027.00818,3284.20459,4
1027.8634,3201.6333,4
1028.5647,3113.988,4
1028.59583,3289.976,4
1028.94641,682.303833,1
1029.90417,3122.09351,4
1031.23474,640.6897,1
1032.58875,3307.55029,4
1033.63733,3468.03979,4
1034.42346,3022.43384,4
1034.63745,2172.264,1
1034.83362,3504.00757,4
1034.94373,840.2675,1
1035.22974,3415.28638,4
1035.40784,3258.9563,4
1035.58423,2514.70752,4
1035.65784,2963.64624,4
1035.98389,3354.41772,4
1036.08569,2914.323,4
1036.55286,3209.565,4
1036.68042,3355.015,4
1037.21826,3407.84033,4
1037.29,3216.876,4
1037.3407,3272.01563,4
1037.412,3254.371,4
1037.91174,3275.58521,4
1038.00293,3315.40869,4
1038.2605,2587.324,4
1038.272,3140.75,4
1038.84583,2992.55469,4
1039.01514,3337.79077,4
1039.02356,3260.24854,4
1039.1554,3341.37061,4
1039.17627,665.079651,1
1039.26758,705.562,1
1039.40613,3241.13232,4
1039.847,3350.905,4
1039.89343,665.8822,1
1039.89783,3252.04053,4
1039.97876,579.6275,1
1039.991,3277.98315,4
1040.06384,3303.59375,4
1040.30334,3143.708,4
1040.394,657.042664,1
1040.51453,3397.26172,4
1040.545,3073.765,4
1040.69434,3334.87354,4
1041.04211,700.151855,1
1041.2085,685.965637,1
1041.25122,3265.31323,4
1041.26379,3026.427,4
1041.2887,3281.52417,4
1041.60889,3348.00537,4
1041.67969,3414.63745,4
1041.79553,635.9085,1
1042.195,3277.729,4
1042.23718,3321.31738,4
1042.35181,3553.74585,4
1042.47571,3378.46265,4
1042.7019,2724.289,4
1042.721,2581.24487,4
1042.72278,2867.46875,4
1042.89148,3175.18848,4
1042.9895,3247.56,4
1043.00793,3083.63,4
1043.05286,3264.82813,4
1043.33313,3215.35571,4
1043.37585,673.1078,1
1043.45337,3016.93579,4
1043.62256,3227.5022,4
1043.68555,3413.30176,4
1043.87708,2844.259,4
1043.90369,3215.75879,4
1043.99182,3081.64844,4
1044.05029,3283.27563,4
1044.12524,645.1872,1
1044.207,3172.46533,4
1044.22314,731.185669,1
1044.41089,3291.74219,4
1044.422,3218.15527,4
1044.42969,3195.04858,4
1044.50281,3452.7876,4
1044.64038,2867.704,4
1044.64929,3243.67627,4
1044.72681,674.3819,1
1044.80273,3386.63,4
1044.82739,3483.01416,4
1045.11035,3415.202,4
1045.116,3052.81885,4
1045.13733,3031.165,4
1045.47266,652.7961,1
1045.84583,3316.595,4
1046.03821,3205.227,4
1046.18884,3224.32666,4
1046.33862,3337.7356,4
1046.3645,3349.11963,4
1046.3949,2878.5354,4
1046.40015,3312.67017,4
1046.448,3328.60767,4
1046.6532,3332.50732,4
1046.694,3229.18774,4
1046.90552,3493.045,4
1047.11951,3221.63086,4
1047.15979,3101.06665,4
1047.18726,3273.91479,4
1047.23218,2959.073,4
1047.36255,3488.41431,4
1047.39636,3236.76929,4
1047.708,3404.96313,4
1047.74756,3351.0835,4
1047.7915,3527.412,4
1047.85364,2502.68335,4
1047.92554,3386.169,4
1047.92908,3176.39941,4
1047.954,3269.11548,4
1047.967,2677.02856,4
1048.0437,3203.141,4
1048.07471,3371.85913,4
1048.22253,635.671936,1
1048.24316,3084.01514,4
1048.33911,3220.71729,4
1048.35071,3109.16235,4
1048.53992,3096.41382,4
1048.559,3262.69531,4
1048.66687,638.1462,1
1048.67407,2936.9563,4
1048.84863,3392.38135,4
1048.86462,884.634644,1
1048.90967,3129.644,4
1049.17151,3156.1145,4
1049.27893,3413.364,4
1049.32031,670.9061,1
1049.39526,3502.841,4
1049.40454,3428.84155,4
1049.43127,699.8496,1
1049.44934,3374.23413,4
1049.53748,3323.90454,4
1049.63245,3111.21167,4
1049.659,3299.85938,4
1049.754,3288.60156,4
