Ch1 Amplitude,Ch2 Amplitude,Cluster
987.4246,3450.537,4
997.941467,3529.27075,4
1003.02069,3543.204,4
1003.81409,3520.07178,4
1005.1,3492.80859,4
1006.42889,689.9999,1
1010.54114,3533.01221,4
1010.55481,3464.70972,4
1011.91919,3510.941,4
1011.98157,3510.23779,4
1012.26794,3428.687,4
1012.41272,3490.46558,4
1014.00049,3667.52881,4
1014.42407,680.966064,1
1015.54889,3683.86475,4
1016.04437,3488.54224,4
1016.16315,3454.87329,4
1016.57642,3348.0332,4
1016.61426,3475.53369,4
1017.58032,3433.9873,4
1019.894,3544.44214,4
1020.58026,677.800232,1
1020.73065,3395.68726,4
1020.98175,690.544067,1
1021.04913,3589.674,4
1021.20624,3506.87329,4
1021.46014,3448.08325,4
1021.6048,3536.9707,4
1022.05957,3457.69385,4
1022.45593,3337.737,4
1023.08832,730.5307,1
1023.25635,3476.83862,4
1023.38049,3371.78882,4
1023.57977,3509.096,4
1023.65741,3448.52612,4
1024.21643,709.539734,1
1024.24231,3540.40039,4
1024.276,697.103333,1
1024.492,3532.38574,4
1025.04028,3528.909,4
1025.0498,3448.61255,4
1025.37256,3599.90845,4
1025.71863,3430.126,4
1025.858,3790.00024,4
1026.28638,3505.244,4
1026.65369,3629.32666,4
1026.972,3523.46436,4
1027.011,3431.353,4
1027.43164,3551.12866,4
1027.5083,3417.15552,4
1027.67456,3517.31274,4
1028.47424,3669.29224,4
1028.7998,3590.28564,4
1028.83875,747.4569,1
1029.10242,3571.77222,4
1029.11707,665.9821,1
1029.24707,3413.73486,4
1029.28418,3438.72778,4
1029.56165,3513.694,4
1029.76538,1206.03137,1
1030.745,3672.20361,4
1030.83826,698.6875,1
1031.50964,3531.53516,4
1031.51538,3516.73828,4
1031.74353,3512.13672,4
1031.77588,3579.22119,4
1031.78516,777.7009,1
1031.94043,3516.35132,4
1032.01038,3714.49976,4
1032.15771,3666.46216,4
1032.26147,3662.36865,4
1032.42285,3466.58,4
1032.54211,3195.38818,4
1032.73242,3502.58887,4
1032.90283,3569.27954,4
1033.07239,3478.748,4
1033.09473,3574.634,4
1033.30469,3317.67822,4
1033.32471,3326.539,4
1033.40063,3504.966,4
1033.42065,3454.9646,4
1033.47485,3357.77563,4
1033.57715,3531.81738,4
1033.7522,696.9483,1
1034.16553,3394.11865,4
1034.53491,3574.60742,4
1034.53625,3451.94556,4
1034.8988,3536.538,4
1034.98071,3291.84326,4
1035.16943,684.15094,1
1035.3064,3512.7937,4
1035.313,3486.401,4
1035.40063,3642.20728,4
1035.54968,3576.674,4
1035.6864,3573.35034,4
1035.73157,687.5583,1
1035.79138,1134.65735,1
1035.85486,3423.26563,4
1036.20508,3564.99756,4
1036.28589,3556.77515,4
1036.30518,3520.80713,4
1036.87256,3395.825,4
1036.91956,3409.70947,4
1036.92334,3555.43384,4
1036.96533,3563.745,4
1036.973,715.5312,1
1037.21375,3470.99463,4
1037.42017,3516.83,4
1037.45081,709.5655,1
1037.7218,3494.38037,4
1037.8335,3481.58325,4
1037.85913,3463.09546,4
1037.91833,3563.75122,4
1038.10425,3361.196,4
1038.18311,3469.7583,4
1038.24243,3632.48145,4
1038.3429,3521.79932,4
1038.36707,3452.039,4
1038.40161,702.8538,1
1038.4624,720.3939,1
1038.49292,720.092163,1
1038.57349,712.295349,1
1038.6394,3519.70313,4
1038.658,705.33374,1
1038.75378,3466.73145,4
1038.82837,664.079651,1
1038.84314,722.6947,1
1038.87109,3478.10083,4
1038.91992,3636.93433,4
1039.2533,3488.64648,4
1039.33752,3472.28687,4
1039.33984,677.4438,1
1039.402,3498.941,4
1039.57764,3410.66748,4
1039.59058,3591.03271,4
1039.7644,3428.463,4
1039.83521,3586.47119,4
1040.03906,3582.77783,4
1040.10046,3511.90039,4
1040.203,3532.69849,4
1040.62048,733.6918,1
1040.63452,3536.60034,4
1040.63647,3514.61548,4
1040.75146,3540.43823,4
1040.75427,3555.70483,4
1040.77332,3395.52686,4
1040.774,692.983643,1
1040.982,3547.051,4
1041.21545,3477.20752,4
1041.2522,3540.90186,4
1041.44836,3396.16138,4
1041.45227,3567.51953,4
1041.49646,3594.47778,4
1041.61292,3618.65479,4
1041.62537,669.4607,1
1041.71289,3469.204,4
1041.76062,3442.12549,4
1041.83276,3547.86353,4
1041.88416,3369.21313,4
1042.05493,728.9371,1
1042.21716,751.52124,1
1042.35413,3549.34717,4
1042.41113,3526.14575,4
1042.42407,3403.65845,4
1042.47107,3583.03271,4
1042.77966,3566.711,4
1042.83545,3701.34375,4
1042.97913,3474.72,4
1043.00635,3537.31079,4
1043.08289,3618.811,4
1043.13843,664.3445,1
1043.19446,3578.318,4
1043.25623,3558.51685,4
1043.4436,3472.344,4
1043.45435,3546.94629,4
1043.47339,3474.767,4
1043.6084,3477.3772,4
1043.65076,3533.74683,4
1043.66858,700.8744,1
1043.74487,3322.71753,4
1044.0116,3375.48047,4
1044.0249,3629.999,4
1044.12476,723.417236,1
1044.12671,3518.17,4
1044.155,3452.328,4
1044.20728,3455.95947,4
1044.336,3618.13867,4
1044.42407,3577.60132,4
1044.48169,3485.632,4
1044.50366,3346.648,4
1044.78308,3378.58228,4
1045.02686,3656.577,4
1045.03259,691.239136,1
1045.05273,722.3774,1
1045.0752,648.926,1
1045.26184,3143.77124,4
1045.2854,734.2326,1
1045.33545,3559.43433,4
1045.35083,3590.96753,4
1045.38867,3524.172,4
1045.64734,3715.05737,4
