Ch1 Amplitude,Ch2 Amplitude,Cluster
893.362061,2690.031,4
947.358337,2982.16528,4
958.118,3058.80957,4
970.1017,646.3543,1
975.9695,3475.11133,4
978.122742,3464.50586,4
983.452637,595.273254,1
986.217163,687.7634,1
989.1038,3481.53174,4
989.2642,3386.19482,4
989.440552,665.7342,1
989.446167,3545.98267,4
989.5928,542.476135,1
989.6096,731.1696,1
989.9156,3436.27515,4
991.704041,712.1745,1
992.6185,3456.19141,4
994.2491,703.563,1
995.1164,716.6543,1
996.4206,3535.45874,4
996.601257,3446.85278,4
996.667847,3205.544,4
996.8783,669.911438,1
997.119141,697.010559,1
997.172058,613.265869,1
997.4633,3636.834,4
997.9855,3493.63379,4
998.105957,3562.856,4
998.108337,3463.12549,4
999.9041,3446.80371,4
1000.01141,3410.6853,4
1000.65179,693.425,1
1001.09149,3392.98779,4
1001.14655,741.6928,1
1001.17743,691.3902,1
1001.39795,693.376648,1
1001.67987,3469.64624,4
1001.92883,663.845154,1
1001.94855,3360.579,4
1002.04962,3556.68335,4
1002.16858,659.5093,1
1002.29395,648.847961,1
1002.29773,670.222961,1
1002.65924,3105.3313,4
1003.09314,3333.78687,4
1003.17816,3320.22876,4
1003.48779,3203.69263,4
1004.06433,3347.87476,4
1004.20172,3527.256,4
1004.20337,667.895752,1
1004.26538,728.257141,1
1004.29675,677.8353,1
1004.29712,3425.47949,4
1004.427,3559.11353,4
1004.44946,3496.437,4
1004.77313,3283.98413,4
1005.252,673.0459,1
1005.31238,3325.21973,4
1005.40546,3493.96313,4
1005.45319,3563.31567,4
1005.46967,637.611,1
1005.85242,697.4625,1
1005.96637,3385.06226,4
1005.97333,682.271362,1
1006.015,3448.88232,4
1006.0387,702.7194,1
1006.06873,3398.96655,4
1006.83392,638.588745,1
1007.12469,3481.67432,4
1007.21326,3193.77881,4
1007.58234,698.8444,1
1007.68591,3710.461,4
1007.76263,3371.63086,4
1008.04059,3357.14551,4
1008.10455,696.5838,1
1008.106,3408.54224,4
1008.21313,684.3436,1
1008.51111,3413.06763,4
1008.55737,657.0102,1
1008.664,3149.57886,4
1008.70813,697.2455,1
1008.7464,3479.901,4
1008.80914,3486.65137,4
1008.8147,3387.72729,4
1009.13147,695.51825,1
1009.76538,3400.79272,4
1009.88422,713.4658,1
1009.88861,654.7433,1
1010.02252,693.063049,1
1010.14227,3355.77686,4
1010.26965,663.4419,1
1010.49567,3145.22266,4
1010.5296,683.395569,1
1010.535,728.1097,1
1010.59644,716.0507,1
1010.60828,683.506165,1
1010.82983,3557.91382,4
1010.88226,662.007,1
1010.91492,3380.58325,4
1011.13428,669.630554,1
1011.18469,3403.81348,4
1011.29462,3512.28,4
1011.35773,667.996643,1
1011.40741,3269.41382,4
1011.51868,3405.195,4
1011.53583,3481.37646,4
1011.56213,3412.46362,4
1011.57794,3412.26343,4
1011.70294,672.6999,1
1011.86176,3289.25049,4
1011.87897,3543.66919,4
1012.01764,3457.54175,4
1012.07227,3423.23071,4
1012.0968,3512.64648,4
1012.18164,3376.27783,4
1012.24713,3282.6604,4
1012.31891,3403.061,4
1012.49969,3239.19238,4
1012.63739,736.8595,1
1012.67407,692.7788,1
1012.73065,3387.25684,4
1012.76404,729.3105,1
1013.30432,717.4518,1
1013.42249,3479.088,4
1013.6062,724.8868,1
1013.66022,3268.41284,4
1013.69373,3477.44873,4
1013.7157,3361.29272,4
1013.94611,3478.61,4
1014.12213,674.746765,1
1014.59406,3449.88843,4
1014.83887,3471.47314,4
1014.844,3376.29468,4
1014.92145,753.970642,1
1014.97339,3505.551,4
1015.115,3482.73022,4
1015.33624,3564.19165,4
1015.34283,3460.73584,4
1015.45483,673.2286,1
1015.70557,3421.141,4
1015.707,3462.00537,4
1015.7121,3618.54858,4
1015.83459,3467.32349,4
1015.88165,3061.48584,4
1015.887,3444.23047,4
1015.89307,655.726,1
1015.90387,3495.93164,4
1016.38135,638.795654,1
1016.44385,673.780762,1
1016.52527,3439.08618,4
1016.54645,3584.82813,4
1016.58661,714.8144,1
1016.61127,723.527832,1
1016.63849,684.206665,1
1016.68683,3470.55347,4
1016.764,682.26416,1
1016.76495,3378.45532,4
1016.90942,695.165,1
1017.04077,3404.83081,4
1017.13251,722.21344,1
1017.1347,3448.84985,4
1017.15344,3543.1145,4
1017.22156,3471.01636,4
1017.27374,732.7722,1
1017.725,3342.491,4
1018.01819,3246.85254,4
1018.05231,3395.749,4
1018.05469,3487.86743,4
1018.1051,3358.5752,4
1018.17169,706.0341,1
1018.23383,3325.3916,4
1018.24841,795.452637,1
1018.37018,3483.27173,4
1018.38934,715.5705,1
1018.39832,3476.28052,4
1018.41675,705.0457,1
1018.42322,679.857361,1
1018.754,3323.953,4
1018.77258,3395.34888,4
1019.11145,3342.17969,4
1019.18274,697.1332,1
1019.45007,3428.56519,4
1019.46985,3331.49341,4
1019.48322,749.6749,1
1019.53882,668.0483,1
1019.60815,3514.369,4
1019.60907,3378.66675,4
1019.73108,682.633667,1
1019.79559,724.0048,1
1019.9245,3395.5354,4
1019.94482,680.358459,1
1020.00348,3391.22461,4
1020.14264,3388.2666,4
1020.17688,656.489563,1
1020.24689,3362.6084,4
1020.31665,3400.018,4
1020.50311,3519.42456,4
1020.65448,3324.00073,4
1020.78137,717.975769,1
1020.91187,3362.89185,4
1021.017,714.832,1
1021.07806,705.0682,1
1021.14233,3397.16724,4
1021.25812,664.239868,1
1021.2973,662.9797,1
1021.32788,728.5596,1
1021.34448,699.4516,1
1021.3703,3389.26,4
1021.38531,3336.711,4
1021.55353,668.328,1
1021.59021,3264.76831,4
1021.664,3463.55518,4
1021.74725,3362.781,4
1021.8175,3447.26465,4
1021.82556,741.1303,1
1021.84808,3366.539,4
1021.88361,2317.409,4
1021.9151,3316.45557,4
1021.98242,739.3509,1
1022.09894,698.50116,1
