Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","INF_COPES_10_4_S",Ch1Unknown,"FAM","Manual",13.8,ddPCR Supermix for Probes (no dUTP),276,,,15.8,11.8,184,15610,,,,,,15794,,,,,,,,,,,,,,,,,,1,1,3743,6316.4,1155.6,1215.8,"",,,,14.8,12.8,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","INF_COPES_10_5_S",Ch1Unknown,"FAM","Manual",0.15,ddPCR Supermix for Probes (no dUTP),3,,,0.48,0.02,2,15597,,,,,,15599,,,,,,,,,,,,,,,,,,1,1,4009,5388.5,1134.7,1135.2,"",,,,0.29,0.07,,,,,,,,,,,,,
"A03",Absolute Quantification,"ABS","INF_COPES_10_6_S",Ch1Unknown,"FAM","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.38,0,1,14858,,,,,,14859,,,,,,,,,,,,,,,,,,1,1,3946,6270.8,1145.8,1146.1,"",,,,0.2,0.02,,,,,,,,,,,,,



"A07",Absolute Quantification,"ABS","PCH_10_1_JUNE_S",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.24,0,0,14834,,,,,,14834,,,,,,,,,,,,,,,,,,1,1,4025,0,1095.9,1095.9,"",,,,0.11,0,,,,,,,,,,,,,
"A08",Absolute Quantification,"ABS","PCH_10_1_JUNE_S",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.25,0,0,14293,,,,,,14293,,,,,,,,,,,,,,,,,,1,1,3961,0,1074.7,1074.7,"",,,,0.11,0,,,,,,,,,,,,,
"A09",Absolute Quantification,"ABS","PCH_10_1_JUNE_S",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.27,0,0,13282,,,,,,13282,,,,,,,,,,,,,,,,,,1,1,3961,0,1066.2,1066.2,"",,,,0.12,0,,,,,,,,,,,,,
"A10",Absolute Quantification,"ABS","PCH_10_1_JUNE_M",Ch1Unknown,"FAM","Manual",1.4,ddPCR Supermix for Probes (no dUTP),28,,,2.1,0.8,18,15477,18,0,15476,1,1.37,15495,,,,,,,,0.00012,,,0.00018,6E-05,0.012,,,0.018,0.006,1,1,4389,5524.6,1114.8,1119.9,"",,,,1.72,1.07,,,,,,,0.000152,8.9E-05,,,0.0152,0.0089,
"A11",Absolute Quantification,"ABS","PCH_10_1_JUNE_M",Ch1Unknown,"FAM","Manual",1.2,ddPCR Supermix for Probes (no dUTP),24,,,1.9,0.7,16,15541,16,0,15540,1,1.21,15557,,,,,,,,0.00011,,,0.00017,5E-05,0.011,,,0.017,0.005,1,1,4231,5503.7,1109,1113.5,"",,,,1.54,0.93,,,,,,,0.000136,7.7E-05,,,0.0136,0.0077,
"A12",Absolute Quantification,"ABS","PCH_10_1_JUNE_M",Ch1Unknown,"FAM","Manual",1.3,ddPCR Supermix for Probes (no dUTP),26,,,2,0.8,16,14539,16,0,14538,1,1.29,14555,,,,,,,,0.00011,,,0.00018,5E-05,0.011,,,0.018,0.005,1,1,4405,5638.9,1110,1115,"",,,,1.65,1,,,,,,,0.000146,8.3E-05,,,0.0146,0.0083,
"B01",Absolute Quantification,"ABS","INF_COPES_10_4_M",Ch1Unknown,"FAM","Manual",12.8,ddPCR Supermix for Probes (no dUTP),256,,,14.9,10.7,143,13071,3,140,285,12786,0,13214,,,,,,,,0.49,,,0.59,0.39,33.1,,,37.5,28.6,1,1,3985,6219.1,1150.7,1205.5,"",,,,13.9,11.7,,,,,,,0.54,0.44,,,35.3,30.8,
"B02",Absolute Quantification,"ABS","INF_COPES_10_5_M",Ch1Unknown,"FAM","Manual",0.15,ddPCR Supermix for Probes (no dUTP),3,,,0.48,0.02,2,15832,0,2,7,15825,0,15834,,,,,,,,0.29,,,0.77,0,22,,,52,0,1,1,4167,5598,1172.2,1172.7,"",,,,0.29,0.06,,,,,,,0.52,0.05,,,37,8,
"B03",Absolute Quantification,"ABS","INF_COPES_10_6_M",Ch1Unknown,"FAM","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.39,0,1,14488,0,1,3,14485,0,14489,,,,,,,,0.3,,,1.2,0,25,,,75,0,1,1,4151,6226.6,1165.9,1166.3,"",,,,0.2,0.02,,,,,,,0.75,0,,,49,1,



"B07",Absolute Quantification,"ABS","PCH_10_2_JUNE_S",Ch1Unknown,"FAM","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.24,0,0,14923,,,,,,14923,,,,,,,,,,,,,,,,,,1,1,4215,0,1090,1090,"",,,,0.11,0,,,,,,,,,,,,,
"B08",Absolute Quantification,"ABS","PCH_10_2_JUNE_S",Ch1Unknown,"FAM","Manual",0.08,ddPCR Supermix for Probes (no dUTP),1.6,,,0.38,0,1,14772,,,,,,14773,,,,,,,,,,,,,,,,,,1,1,4310,5980.7,1051.4,1051.7,"",,,,0.2,0.02,,,,,,,,,,,,,
"B09",Absolute Quantification,"ABS","PCH_10_2_JUNE_S",Ch1Unknown,"FAM","Manual",0.26,ddPCR Supermix for Probes (no dUTP),5.2,,,0.69,0.06,3,13502,,,,,,13505,,,,,,,,,,,,,,,,,,1,1,4262,6318.4,1078.6,1079.7,"",,,,0.45,0.14,,,,,,,,,,,,,
"B10",Absolute Quantification,"ABS","PCH_10_2_JUNE_M",Ch1Unknown,"FAM","Manual",0.09,ddPCR Supermix for Probes (no dUTP),1.8,,,0.42,0,1,13425,1,0,8153,5272,0.0876,13426,,,,,,,,8E-05,,,0.00027,0,0.008,,,0.027,0,1,1,4183,5500.7,1100.5,1100.9,"",,,,0.22,0.02,,,,,,,0.00017,0,,,0.017,0,
"B11",Absolute Quantification,"ABS","PCH_10_2_JUNE_M",Ch1Unknown,"FAM","Manual",0.17,ddPCR Supermix for Probes (no dUTP),3.4,,,0.54,0.03,2,14012,2,0,8475,5537,0.168,14014,,,,,,,,0.00015,,,0.00039,0,0.015,,,0.039,0,1,1,4151,5749.2,1091.3,1092,"",,,,0.32,0.07,,,,,,,0.00027,4E-05,,,0.027,0.004,
